id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10497,"2014-01-01:""LTB CMS"";
2014-07-01:""Tokenly""",2014-01-01,Private,@TokenlyInc,https://tekk.tokenly.com/about-us/,2015-05-22,5752471,,,,"San Francisco, California",United States,"Wilmington, Delaware",United States,,Native,"2014-01-01:183403301;
2018-01-01:183403301,183403303","Open-Source Customized Cryptographic Token Platform on Counterparty; Sidechain (""Tokenly TEKK"", 2018)",,TRUE,Founded after creating LTBCoin in June 2014 with the same team
10498,"2013-01-01:""The Genesis Block"";
2014-03-23:""TradeBlock""",2013-01-01,Private,@TradeBlock,https://tradeblock.com/,2016-12-16,6225173,,,,"New York, New York",United States,"Wilmington, Delaware",United States,"New York, United States",Native,"152512301,152532500","Market Data/Analytics/Research Provider for mainly institutional Clients, Research publication",,TRUE,
10499,TradeHill,2011-06-01,,,,2011-01-01,,2013-01-01,"First shut down in 2012, then reopened beginning of 2013, but forced to shut down again due to regulatory reasons regarding their bank relationship",R,"San Francisco, California",United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,101001000,Exchange,,TRUE,
10500,Tradewave,2014-01-01,Private,@tradewavenet,,2015-07-02,5562461,2015-09-01,Defunct,,London,UK,"Wilmington, Delaware",United States,"New York, United States",Native,101001003,Platform for building automated trading strategy for cryptocurrencies,,TRUE,
10501,Unisend,2014-01-01,Private,,,2014-01-01,,2015-09-26,"Acquired by ""BitPagos""",A,Buenos Aires,Argentina,Buenos Aires,Argentina,,Native,101001000,Exchange,,TRUE,
10502,"2013-12-01:""CoinMonk"";
2016-04-06:""Unocoin""",2013-12-01,Private,@unocoin,https://www.unocoin.com/in,2013-12-17,"2013-12-17:""072554"";
2016-04-06:""201538056R""",,,,Bangalore,India,"2013-12-17:""Tumkur, Karnataka"";
2016-04-06:""Singapore""","2013-12-17:""India"";
2016-04-06:""Singapore""",India,Native,"2013-12-01:101011100,121601500;
2014-01-01:101011100,121601500,111301200;
2016-05-01:101011100,121601500,111301200,111301201;
2016-08-30:101011100,121601500,111301200,111301201,101011101;
2018-06-01:101011100,121601500,111301200,111301201,101011101,101001000","Brokerage Services; Wallet/Money Transfer Platform; Payment Processor (2014), Bill Payment (2016-05-01) OTC (2016-08-30), Order-book exchange (2018-06-01)",,TRUE,"Subsidiary: Unocoin Technologies PVT Ltd (Karnataka, India)
Parent company: UNOCOIN TECHNOLOGIES PTE. LTD."
10503,Uproov,2015-12-01,Private,@uproov,https://uproov.com/,2015-07-09,606 998 458,,,,"San Diego, California",United States,Perth,Australia,Australia,Native,204003900,Mobile Timestamping Service (Live Proof-of-Existence App on Bitcoin Blockchain),,TRUE,Parent company: Ledger Assets Pty Ltd
10504,Usebitcoins.info,2013-06-01,,@UseBitcoins,https://usebitcoins.info/,2013-01-01,,,,,Unidentified,Greece,Unidentified,Unidentified,Unidentified,Native,152512300,Directory for Bitcoin-related Services,,TRUE,
10505,Vault of Satoshi,2013-10-01,Private,,,2013-04-18,2369690,2015-02-05,"Founders wanted to pursue other venture (""TurboFlix"")",R,Toronto,Canada,"Brantford, Ontario",Canada,Canada,Native,101001000,Exchange,,TRUE,
10506,Vaultoro,2015-02-01,Private,,https://www.vaultoro.com/,2014-12-30,9369786,,,,Cardiff,United Kingdom,Cardiff,United Kingdom,United Kingdom,Native,101001000,"Bitcoin-Gold Exchange. Buy solid gold with bitcoin, sell solid gold for Bitcoin.",,TRUE,"Slated to launch Valutoro 2.0 (platform with DASH support and trading of other metals) in Q2, 2019."
10507,Vinumeris,2014-04-11,Private,,,2014-04-11,157.244.008,2016-01-01,Defunct,R,Zurich,Switzerland,Zurich,Switzerland,Switzerland,Native,183403301,"Open-Source Decentralized Bitcoin-powered Crowdfunding Application ""Lighthouse""",,TRUE,
