id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10513,WeExchange,01/07/2011,Private,,https://www.wexchange.com.au/track-order/,22/10/2012,52 155 326 846,01/11/2013,Apparently Exit Scam,R,Victoria,Australia,Victoria,Australia,Australia,Native,101001000,Exchange,,TRUE,"Legal name:WeExchange Australia, Pty. Ltd.
https://www.sec.gov/litigation/complaints/2018/comp24078.pdf"
10607,"2012-01-01:""ItBit"";
2015-01-01:""Paxos""",01/01/2012,Private,@PaxosGlobal,"https://www.paxos.com
",01/05/2015,1766787,,,,"2012-01-01:""Singapore"";
2015-01-01:""New York""","2012-01-01:""Singapore"";
2015-01-01:""United States""","2012-01-01:""Singapore"";
2015-01-01:""New York""","2012-01-01:""Singapore"";
2015-01-01:""United States""",United States,Native,"2012-01-01:101001000;
2015-01-01:101001000,101011101,101011100;
2017-01-01:101001000,101011101,121601501,101011100;
2018-01-01:101001000,101011101,121601500,101011100,214604200","Exchange, OTC Trading, Custody (2017), Brokerage (Escrow), Stablecoin and Gold-backed token(September, 2018), automated trading (post trade), Market data",,TRUE,"First company obtaining a banking trust charter, enabling it to operate in all 50 states in the United States. Incorporated as Paxos Trust Company LLC
Has offices in Singapore, for customers based in Singapore (ItBit PTE Ltd.), London, NYC"
10610,Seba,01/01/2018,Private,@weareseba,https://www.seba.swiss/,24/04/2018,CHE-434.446.643,,,,Zug,Switzerland,Zug,Switzerland,Switzerland,Native,"173103000,173113100",Digital Asset Bank,,TRUE,
10641,Paradigma,01/09/2019,Private,@paradigmaLU,https://www.paradigma.lu/,01/09/2019,,,,,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Native,193713700,Blockchain consulting firm,1,TRUE,
10642,Polo Digital Asset,21/10/2019,Private,@Poloniex,https://poloniex.com/,Unverified,Unverified,,,,Seychelles,Seychelles,,Bermuda,,Native,"101001000,173103000","Order-book (2019), Margin Trading (2019), Lending (2019)",,TRUE,
10643,B2C2,01/01/2015,Private,@B2C2Group,https://www.b2c2.com/,01/01/2015,10102984,,,,London,United Kingdom,London,United Kingdom,United Kingdom,Native,"101011101,101001002","OTC, liquidity provider","2016-01-01:2;
2017-01-01:25;
2018-01-01:33",TRUE,"Its UK subsidiary, B2C2 OTC Ltd., is now authorised and regulated by the UK’s Financial Conduct Authority to arrange and deal in Contracts for Difference (CFDs)"
10665,Galaxy Digital,31/07/2018,Public,,https://www.galaxydigital.io/,01/02/2006,,,,,New York,United States,Grand Cayman,Cayman Islands,Cayman Islands,Native,"101011100,101011101,101001002,193713700,193713701,214304100","Brokerage services, OTC, Market Making, Portfolio management, Advisory (General Corporate Advisory, M&A, Transaction Advisory, Restructuring, Capital Raising), Industry research",2019-11-06:27,,"https://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00023367&issuerType=03&projectNo=02906873&docId=4507119
Reverse Merger - hence filings from 2006"
10670,Castle Island,16/05/2018,Private,@CastleIslandVC,https://www.castleisland.vc/,16/05/2018,6888432,,,,Massachusetts,United States,New Castle,United States,United States,Native,"2018-05-16:214304100;
2019-09-17:162822800,214304100","Venture Capital in Public Blockchain Project, New podcast (""On the brink"", September 2019)",,TRUE,"SEC -Filing: https://www.sec.gov/Archives/edgar/data/1742592/000174259218000001/xslFormDX01/primary_doc.xml

Related entities: 
Castle Island GP I, LLC, Castle Island Management, LLC"
10673,ErisX,01/07/2019,Private,@ErisX_Digital,https://www.erisx.com/,16/10/2017,6579164,,,,Chicago,United States,Chicago,United States,United States,Partial pivot,"101021202,101001000","Clearing house for cryptoassets, Trading platform",,,"Legal Name: Eris Clearing LLC
Subsidary of Eris Exchange LLC (founded 2010-04-02)"
10683,Fundstrat,01/01/2017,Private,@fundstrat,https://www.fundstrat.com/,17/04/2014,5518645,,,,New York,United States,Dover,United States,United States,Partial pivot,"152532500,193713700","Industry research, Business consulting",,TRUE,"Legal Name: Fundstrat Global Advisors, LLC."
10707,Bit Markets,01/07/2017,Private,,https://www.bit-markets.io/,01/01/2014,SL031616,,,,Scotland,United Kingdom,Scotland,United Kingdom,United Kingdom,Native,101001000,Order-book,,TRUE,Owned by Amberfell Today LP Hqed in Scotland UK
10708,Coinschedule,01/01/2016,Private,@coinschedule,https://www.coinschedule.com/,19/01/2018,11158908,,,,Oxford,United Kingdom,Rickmansworth,United Kingdom,United Kingdom,Native,"152512302,152522400,162822801","News Aggregator, Rating,Event schedule","2017-01-01:12;
2018-01-01:2",TRUE,
10710,Woleet,01/04/2016,Private,@woleet,,01/04/2016,,,,,Rennes,France,Rennes,France,France,Native,204003901,Timestamping Service,,TRUE,
